date,fuel,mwh
4/16/2007,Coal,282308.17
4/16/2007,Gas,277927.08
4/16/2007,Hydro,2948.74
4/16/2007,Nuclear,60190.03
4/16/2007,Oth,7584.63
4/16/2007,Wnd,53029.58
4/17/2007,Coal,277497.99
4/17/2007,Gas,317991.34
4/17/2007,Hydro,3404.60
4/17/2007,Nuclear,60045.13
4/17/2007,Oth,7761.19
4/17/2007,Wnd,20644.81
4/18/2007,Coal,292282.78
4/18/2007,Gas,316537.34
4/18/2007,Hydro,3373.21
4/18/2007,Nuclear,59621.19
4/18/2007,Oth,9118.66
4/18/2007,Wnd,11476.07
4/19/2007,Coal,286537.30
4/19/2007,Gas,314903.01
4/19/2007,Hydro,3207.22
4/19/2007,Nuclear,59667.13
4/19/2007,Oth,8424.34
4/19/2007,Wnd,42001.00
4/20/2007,Coal,293400.04
4/20/2007,Gas,307514.84
4/20/2007,Hydro,2760.98
4/20/2007,Nuclear,61213.70
4/20/2007,Oth,9449.55
4/20/2007,Wnd,49508.14
4/21/2007,Coal,275340.78
4/21/2007,Gas,271817.29
4/21/2007,Hydro,2210.98
4/21/2007,Nuclear,67005.20
4/21/2007,Oth,7777.38
4/21/2007,Wnd,52544.67
4/22/2007,Coal,270838.87
4/22/2007,Gas,288998.48
4/22/2007,Hydro,2292.22
4/22/2007,Nuclear,75571.37
4/22/2007,Oth,8312.78
4/22/2007,Wnd,16691.71
4/23/2007,Coal,258214.17
4/23/2007,Gas,357104.95
4/23/2007,Hydro,3361.34
4/23/2007,Nuclear,82678.85
4/23/2007,Oth,12729.29
4/23/2007,Wnd,42264.47
4/24/2007,Coal,248503.22
4/24/2007,Gas,375650.48
4/24/2007,Hydro,2950.10
4/24/2007,Nuclear,87620.58
4/24/2007,Oth,13456.56
4/24/2007,Wnd,33595.07
4/25/2007,Coal,254926.74
4/25/2007,Gas,355365.77
4/25/2007,Hydro,3203.72
4/25/2007,Nuclear,87568.06
4/25/2007,Oth,13249.71
4/25/2007,Wnd,30948.40
4/26/2007,Coal,262997.74
4/26/2007,Gas,338551.39
4/26/2007,Hydro,2886.91
4/26/2007,Nuclear,87383.51
4/26/2007,Oth,13379.63
4/26/2007,Wnd,14584.38
4/27/2007,Coal,258147.79
4/27/2007,Gas,329699.98
4/27/2007,Hydro,2601.58
4/27/2007,Nuclear,87421.77
4/27/2007,Oth,12073.84
4/27/2007,Wnd,30475.10
4/28/2007,Coal,276604.00
4/28/2007,Gas,331429.56
4/28/2007,Hydro,1754.22
4/28/2007,Nuclear,93517.09
4/28/2007,Oth,6902.62
4/28/2007,Wnd,11010.18
4/29/2007,Coal,270946.67
4/29/2007,Gas,326624.25
4/29/2007,Hydro,3519.17
4/29/2007,Nuclear,107989.18
4/29/2007,Oth,8045.26
4/29/2007,Wnd,14145.31
4/30/2007,Coal,267398.97
4/30/2007,Gas,364761.06
4/30/2007,Hydro,3851.83
4/30/2007,Nuclear,112377.56
4/30/2007,Oth,9993.84
4/30/2007,Wnd,16033.55
5/1/2007,Coal,258897.74
5/1/2007,Gas,363238.33
5/1/2007,Hydro,3563.19
5/1/2007,Nuclear,119201.10
5/1/2007,Oth,11903.60
5/1/2007,Wnd,8708.49
5/2/2007,Coal,257837.96
5/2/2007,Gas,366866.87
5/2/2007,Hydro,4344.76
5/2/2007,Nuclear,121033.38
5/2/2007,Oth,10884.48
5/2/2007,Wnd,10928.91
5/3/2007,Coal,255827.99
5/3/2007,Gas,367651.29
5/3/2007,Hydro,4464.52
5/3/2007,Nuclear,121037.66
5/3/2007,Oth,10007.53
5/3/2007,Wnd,7247.31
5/4/2007,Coal,250426.92
5/4/2007,Gas,384476.00
5/4/2007,Hydro,4189.80
5/4/2007,Nuclear,120925.02
5/4/2007,Oth,10747.78
5/4/2007,Wnd,43758.71
5/5/2007,Coal,261928.95
5/5/2007,Gas,366713.58
5/5/2007,Hydro,4513.49
5/5/2007,Nuclear,120922.15
5/5/2007,Oth,10228.26
5/5/2007,Wnd,40536.15
5/6/2007,Coal,265444.04
5/6/2007,Gas,387269.93
5/6/2007,Hydro,4491.41
5/6/2007,Nuclear,120907.17
5/6/2007,Oth,11175.69
5/6/2007,Wnd,21367.82
5/7/2007,Coal,285924.07
5/7/2007,Gas,452784.66
5/7/2007,Hydro,4959.84
5/7/2007,Nuclear,120873.25
5/7/2007,Oth,14413.18
5/7/2007,Wnd,12332.29
5/8/2007,Coal,290170.39
5/8/2007,Gas,418593.88
5/8/2007,Hydro,4846.01
5/8/2007,Nuclear,120884.69
5/8/2007,Oth,11903.25
5/8/2007,Wnd,14268.11
5/9/2007,Coal,286073.39
5/9/2007,Gas,383679.35
5/9/2007,Hydro,5450.20
5/9/2007,Nuclear,120931.05
5/9/2007,Oth,10981.74
5/9/2007,Wnd,7051.05
5/10/2007,Coal,285654.87
5/10/2007,Gas,375699.37
5/10/2007,Hydro,6597.22
5/10/2007,Nuclear,120852.46
5/10/2007,Oth,11815.46
5/10/2007,Wnd,4114.26
5/11/2007,Coal,292334.34
5/11/2007,Gas,364095.06
5/11/2007,Hydro,6355.79
5/11/2007,Nuclear,120575.64
5/11/2007,Oth,12447.34
5/11/2007,Wnd,3462.63
5/12/2007,Coal,296502.73
5/12/2007,Gas,350034.60
5/12/2007,Hydro,7037.47
5/12/2007,Nuclear,120610.74
5/12/2007,Oth,10947.39
5/12/2007,Wnd,1777.78
5/13/2007,Coal,310967.92
5/13/2007,Gas,335460.28
5/13/2007,Hydro,6793.04
5/13/2007,Nuclear,120554.43
5/13/2007,Oth,11312.16
5/13/2007,Wnd,4533.46
5/14/2007,Coal,317121.08
5/14/2007,Gas,403419.01
5/14/2007,Hydro,6534.49
5/14/2007,Nuclear,120336.02
5/14/2007,Oth,12569.92
5/14/2007,Wnd,24410.33
5/15/2007,Coal,315691.12
5/15/2007,Gas,410531.09
5/15/2007,Hydro,6189.47
5/15/2007,Nuclear,119998.89
5/15/2007,Oth,12936.51
5/15/2007,Wnd,26031.13
5/16/2007,Coal,318406.09
5/16/2007,Gas,345870.18
5/16/2007,Hydro,5986.34
5/16/2007,Nuclear,120213.55
5/16/2007,Oth,11941.63
5/16/2007,Wnd,16044.55
5/17/2007,Coal,323648.36
5/17/2007,Gas,310593.48
5/17/2007,Hydro,6067.06
5/17/2007,Nuclear,120356.59
5/17/2007,Oth,11283.07
5/17/2007,Wnd,4505.69
5/18/2007,Coal,322267.18
5/18/2007,Gas,299771.74
5/18/2007,Hydro,6038.26
5/18/2007,Nuclear,120451.61
5/18/2007,Oth,11444.00
5/18/2007,Wnd,10147.69
5/19/2007,Coal,326761.03
5/19/2007,Gas,246943.33
5/19/2007,Hydro,5982.83
5/19/2007,Nuclear,120543.15
5/19/2007,Oth,10155.54
5/19/2007,Wnd,11371.24
5/20/2007,Coal,312877.23
5/20/2007,Gas,242487.37
5/20/2007,Hydro,5958.53
5/20/2007,Nuclear,120577.25
5/20/2007,Oth,9382.75
